DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2016-03-01 21:38:35",INFO,--,0,12,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:38:35",INFO,--,0,13,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:38:35",INFO,--,0,14,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:38:35",INFO,--,0,15,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:38:35",INFO,--,0,16,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:36",INFO,--,0,12,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:36",INFO,--,0,13,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:36",INFO,--,0,14,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:36",INFO,--,0,15,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:36",INFO,--,0,16,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:44",INFO,--,0,12,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:44",INFO,--,0,13,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:44",INFO,--,0,14,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:44",INFO,--,0,15,/var/www/html/start/school_app/api/signup.php
"2016-03-01 21:44:44",INFO,--,0,16,/var/www/html/start/school_app/api/signup.php
"2016-03-01 22:13:23",INFO,--,0,12,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-01 22:13:23",INFO,--,0,13,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-01 22:13:23",INFO,--,0,14,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-01 22:13:23",INFO,--,0,15,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-01 22:13:23",INFO,--,0,16,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:24:20",INFO,--,Array,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:24:20",INFO,--,Array,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:26:44",INFO,--,Array,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:26:44",INFO,--,Array,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:40:05",DEBUG,--,Array,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:40:05",DEBUG,--,Array,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:46:41",DEBUG,--,Array,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:46:41",DEBUG,--,Array,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:47:43",DEBUG,--,Array,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:47:43",DEBUG,--,Array,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:50:51",DEBUG,--,"Hi the log kjkdsjhfkdsfhsdArray",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:50:51",DEBUG,--,kdsjhfksdjhArray,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:51:36",DEBUG,--,"Hi the log kjkdsjhfkdsfhsdArray",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:51:36",DEBUG,--,kdsjhfksdjhArray,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:56:29",DEBUG,--,LogArray,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:56:29",DEBUG,--,ErrorArray,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:57:00",DEBUG,--,LogArray,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 20:57:00",DEBUG,--,ErrorArray,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:00:04",DEBUG,--,LogArray,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:00:30",DEBUG,--,LogArray,34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:02:09",DEBUG,--,"LogINSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES (NULL, NULL, NULL, NULL, NULL)",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:02:45",DEBUG,--,"LogINSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES (NULL, NULL, NULL, NULL, NULL)",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:03:46",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('fdgdfgfdg', 'tsfgfdsg', 'banglore', 'parent', 'fdgdfg@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:03:46",DEBUG,--,"error00000|1062|Duplicate entry 'fdgdfgfdg' for key 'user_name_UNIQUE'",35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:05:42",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('fdgdfgfdg', 'tsfgfdsg', 'banglore', 'parent', 'fdgdfg@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:05:42",DEBUG,--,"error00000|1062|Duplicate entry 'fdgdfgfdg' for key 'user_name_UNIQUE'",35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:05:45",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('fdgdfgfdg', 'tsfgfdsg', 'banglore', 'parent', 'fdgdfg@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:05:45",DEBUG,--,"error00000|1062|Duplicate entry 'fdgdfgfdg' for key 'user_name_UNIQUE'",35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:07:41",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('dfgfdgdfg', 'dkfkjashkjsah', 'new-delhi', 'parent', 'dhfsdfkjsdh@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:07:41",DEBUG,--,error00000||,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:10:52",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('asdsadasd', 'dkjfhdskjh', 'new-delhi', 'student', 'sadsadsada@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:10:52",DEBUG,--,error00000||,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:10:55",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('asdsadasd', 'dkjfhdskjh', 'new-delhi', 'student', 'sadsadsada@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:10:55",DEBUG,--,"error00000|1062|Duplicate entry 'asdsadasd' for key 'user_name_UNIQUE'",35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:12:25",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('dfdsf', 'skdkdsjh', 'mumbai', 'school_rep', 'sdfdsf@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:12:25",DEBUG,--,error00000||,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:13:12",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('sdjfkjsdfkjhds', 'dljlakdflkj', 'new-delhi', 'parent', 'daslasdjlksaj@gmail.com')",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:13:12",DEBUG,--,error00000||,35,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:20:53",DEBUG,--,"Query:INSERT INTO ""tbl_users"" (""user_name"", ""password"", ""city"", ""role"", ""email"") VALUES ('dsfdsfdsdsf', 'dsjflsdkjf', 'new-delhi', 'parent', NULL)",34,/var/www/html/start/pages/js/school_app/api/signup.php
"2016-03-03 21:20:53",DEBUG,--,"error00000|1048|Column 'email' cannot be null",35,/var/www/html/start/pages/js/school_app/api/signup.php
